,dassco0024,Top,dassco0215,Side,dassco0063,dassco0056,dassco0218,total
0,0 days 00:00:00.089993,0 days 00:00:00.114334,0 days 00:00:00.114936,0 days 00:00:00.114980,0 days 00:00:00.115021,0 days 00:00:00.137873,0 days 00:00:00.138394,0 days 00:00:00.140354
1,0 days 00:00:00.097602,0 days 00:00:00.142666,0 days 00:00:00.142744,0 days 00:00:00.097754,0 days 00:00:00.097799,0 days 00:00:00.074819,0 days 00:00:00.028931,0 days 00:00:00.144801
2,0 days 00:00:00.089105,0 days 00:00:00.112508,0 days 00:00:00.114467,0 days 00:00:00.114568,0 days 00:00:00.114611,0 days 00:00:00.089190,0 days 00:00:00.023687,0 days 00:00:00.114909
3,0 days 00:00:00.069235,0 days 00:00:00.093873,0 days 00:00:00.093759,0 days 00:00:00.117126,0 days 00:00:00.117327,0 days 00:00:00.139517,0 days 00:00:00.023931,0 days 00:00:00.141633
4,0 days 00:00:00.090154,0 days 00:00:00.112633,0 days 00:00:00.112422,0 days 00:00:00.090062,0 days 00:00:00.112348,0 days 00:00:00.135645,0 days 00:00:00.024004,0 days 00:00:00.135912
5,0 days 00:00:00.090087,0 days 00:00:00.090161,0 days 00:00:00.135845,0 days 00:00:00.090205,0 days 00:00:00.158726,0 days 00:00:00.135761,0 days 00:00:00.024165,0 days 00:00:00.159090
6,0 days 00:00:00.138429,0 days 00:00:00.138266,0 days 00:00:00.092432,0 days 00:00:00.092355,0 days 00:00:00.092471,0 days 00:00:00.138478,0 days 00:00:00.024062,0 days 00:00:00.140449
7,,,0 days 00:00:00.134820,,,0 days 00:00:00.023265,,0 days 00:00:00.135717
8,,,0 days 00:00:00.133260,,,0 days 00:00:00.023756,,0 days 00:00:00.133980
9,,,0 days 00:00:00.089311,,0 days 00:00:00.089383,0 days 00:00:00.023172,,0 days 00:00:00.089545
10,,,0 days 00:00:00.089527,,0 days 00:00:00.089442,0 days 00:00:00.023298,,0 days 00:00:00.089736
11,,,0 days 00:00:00.088630,,0 days 00:00:00.088842,0 days 00:00:00.023050,,0 days 00:00:00.089069
12,0 days 00:00:00.089419,0 days 00:00:00.089244,0 days 00:00:00.112284,0 days 00:00:00.112430,0 days 00:00:00.112347,0 days 00:00:00.112391,0 days 00:00:00.023794,0 days 00:00:00.112949
13,0 days 00:00:00.140242,0 days 00:00:00.116326,0 days 00:00:00.092327,0 days 00:00:00.092243,0 days 00:00:00.116519,0 days 00:00:00.116241,0 days 00:00:00.024042,0 days 00:00:00.142375
14,0 days 00:00:00.090926,0 days 00:00:00.138302,0 days 00:00:00.115395,0 days 00:00:00.091381,0 days 00:00:00.115329,0 days 00:00:00.091430,0 days 00:00:00.024645,0 days 00:00:00.139308
15,0 days 00:00:00.091020,0 days 00:00:00.140987,0 days 00:00:00.116470,0 days 00:00:00.091102,0 days 00:00:00.140915,0 days 00:00:00.091184,0 days 00:00:00.024345,0 days 00:00:00.143360
16,0 days 00:00:00.089952,0 days 00:00:00.113744,0 days 00:00:00.113655,0 days 00:00:00.113149,0 days 00:00:00.113698,0 days 00:00:00.089875,0 days 00:00:00.023828,0 days 00:00:00.114247
17,0 days 00:00:00.089871,0 days 00:00:00.112994,0 days 00:00:00.090013,0 days 00:00:00.113038,0 days 00:00:00.112921,0 days 00:00:00.090140,0 days 00:00:00.023726,0 days 00:00:00.113332
18,0 days 00:00:00.091219,0 days 00:00:00.116035,0 days 00:00:00.115997,0 days 00:00:00.115926,0 days 00:00:00.115875,0 days 00:00:00.114080,0 days 00:00:00.024055,0 days 00:00:00.116376
19,0 days 00:00:00.089995,0 days 00:00:00.114839,0 days 00:00:00.114579,0 days 00:00:00.114728,0 days 00:00:00.114647,0 days 00:00:00.090108,0 days 00:00:00.024007,0 days 00:00:00.115917
20,0 days 00:00:00.092231,0 days 00:00:00.139024,0 days 00:00:00.092493,0 days 00:00:00.092157,0 days 00:00:00.092455,0 days 00:00:00.092409,0 days 00:00:00.025403,0 days 00:00:00.141447
21,0 days 00:00:00.091237,0 days 00:00:00.092462,0 days 00:00:00.114777,0 days 00:00:00.114823,0 days 00:00:00.114700,0 days 00:00:00.138029,0 days 00:00:00.024312,0 days 00:00:00.138677
22,0 days 00:00:00.144576,0 days 00:00:00.144509,0 days 00:00:00.097108,0 days 00:00:00.144624,0 days 00:00:00.075096,0 days 00:00:00.027323,0 days 00:00:00.050879,0 days 00:00:00.145874
23,0 days 00:00:00.089948,0 days 00:00:00.090073,0 days 00:00:00.089874,0 days 00:00:00.113009,0 days 00:00:00.135943,0 days 00:00:00.135868,0 days 00:00:00.023783,0 days 00:00:00.137952
24,0 days 00:00:00.077102,0 days 00:00:00.127650,0 days 00:00:00.127534,0 days 00:00:00.127608,0 days 00:00:00.100125,0 days 00:00:00.100203,0 days 00:00:00.032080,0 days 00:00:00.128599
25,0 days 00:00:00.091001,0 days 00:00:00.115595,0 days 00:00:00.091204,0 days 00:00:00.115786,0 days 00:00:00.115733,0 days 00:00:00.138142,0 days 00:00:00.024784,0 days 00:00:00.139652
