,dassco0063,Top,dassco0215,Side,dassco0024,dassco0056,dassco0218,total
0,0 days 00:00:00.974986,0 days 00:00:00.975131,0 days 00:00:00.975178,0 days 00:00:01.051371,0 days 00:00:01.097928,0 days 00:00:01.185629,0 days 00:00:01.230609,0 days 00:00:01.230815
1,0 days 00:00:00.997092,0 days 00:00:00.997146,0 days 00:00:00.997012,0 days 00:00:01.086586,0 days 00:00:01.086505,0 days 00:00:01.198801,0 days 00:00:01.286281,0 days 00:00:01.286424
2,0 days 00:00:00.979821,0 days 00:00:01.002946,0 days 00:00:00.979741,0 days 00:00:01.068127,0 days 00:00:01.112397,0 days 00:00:01.112042,0 days 00:00:01.244903,0 days 00:00:01.246755
3,0 days 00:00:00.998138,0 days 00:00:00.975414,0 days 00:00:01.020738,0 days 00:00:01.109361,0 days 00:00:01.155876,0 days 00:00:01.133277,0 days 00:00:01.288870,0 days 00:00:01.289323
4,0 days 00:00:00.969375,0 days 00:00:01.057192,0 days 00:00:00.969453,0 days 00:00:01.079615,0 days 00:00:01.101721,0 days 00:00:00.991857,0 days 00:00:01.169948,0 days 00:00:01.170186
5,0 days 00:00:01.039383,0 days 00:00:01.017050,0 days 00:00:01.039560,0 days 00:00:01.084994,0 days 00:00:00.994216,0 days 00:00:01.151992,0 days 00:00:01.307090,0 days 00:00:01.307209
6,0 days 00:00:00.998155,0 days 00:00:01.021136,0 days 00:00:00.998353,0 days 00:00:01.086725,0 days 00:00:00.998307,0 days 00:00:01.154012,0 days 00:00:01.219933,0 days 00:00:01.221818
7,,,0 days 00:00:01.037402,,,0 days 00:00:01.060096,,0 days 00:00:01.060234
8,,,0 days 00:00:01.032341,,,0 days 00:00:01.228978,,0 days 00:00:01.229088
9,0 days 00:00:00.973882,,0 days 00:00:01.017703,,,0 days 00:00:01.148808,,0 days 00:00:01.150763
10,0 days 00:00:00.956489,,0 days 00:00:00.978827,,,0 days 00:00:01.177280,,0 days 00:00:01.179060
11,0 days 00:00:01.046963,,0 days 00:00:01.047041,,,0 days 00:00:01.157859,,0 days 00:00:01.158003
12,0 days 00:00:00.997540,0 days 00:00:01.019932,0 days 00:00:00.997625,0 days 00:00:01.042411,0 days 00:00:01.088837,0 days 00:00:01.064862,0 days 00:00:01.265425,0 days 00:00:01.265744
13,0 days 00:00:00.985138,0 days 00:00:01.053465,0 days 00:00:01.031361,0 days 00:00:01.098371,0 days 00:00:01.143835,0 days 00:00:01.075997,0 days 00:00:01.234386,0 days 00:00:01.234517
14,0 days 00:00:01.513051,0 days 00:00:01.557790,0 days 00:00:01.579928,0 days 00:00:01.623542,0 days 00:00:01.579635,0 days 00:00:01.579882,0 days 00:00:01.755581,0 days 00:00:01.757523
15,0 days 00:00:01.612051,0 days 00:00:01.657322,0 days 00:00:01.657253,0 days 00:00:01.723732,0 days 00:00:01.700727,0 days 00:00:01.790191,0 days 00:00:01.920416,0 days 00:00:01.920550
16,0 days 00:00:01.584026,0 days 00:00:01.629792,0 days 00:00:01.607528,0 days 00:00:01.673194,0 days 00:00:01.607456,0 days 00:00:01.695047,0 days 00:00:01.850260,0 days 00:00:01.851189
17,0 days 00:00:01.580957,0 days 00:00:01.629398,0 days 00:00:01.629476,0 days 00:00:01.695547,0 days 00:00:01.673050,0 days 00:00:01.741512,0 days 00:00:01.873914,0 days 00:00:01.874055
